,experiment,server_round,total_num_clients,total_num_examples,accuracy,loss,training_time,val_accuracy,val_loss,evaluation_total_num_clients,evaluation_total_num_examples,evaluation_accuracy,evaluation_loss,evaluation_time,batch_size,epochs,validation_split
51,1,52,5,50000.0,0.5233999848365783,1.3140599489212037,5.723401269799979,0.4815999984741211,1.4424615621566772,5,10000.0,0.5060999989509583,1.356032419204712,0.5314683018000779,32,1,0.1
52,1,53,5,50000.0,0.523711109161377,1.3096349716186524,5.700793581800006,0.4881999909877777,1.4226107835769652,5,10000.0,0.5135000109672546,1.3512570142745972,0.5318504007999764,32,1,0.1
53,1,54,5,50000.0,0.5261333346366882,1.309349274635315,5.732421916400018,0.4825999975204468,1.452061080932617,5,10000.0,0.5103999972343445,1.3564198732376098,0.5317928523999399,32,1,0.1
54,1,55,5,50000.0,0.5293111085891724,1.302057862281799,5.701917483399984,0.4773999989032745,1.4445029497146606,5,10000.0,0.510099995136261,1.3556799173355103,0.5260970541999541,32,1,0.1
55,1,56,5,50000.0,0.530733323097229,1.2944005966186525,5.716747276200068,0.4814000070095062,1.4344078302383425,5,10000.0,0.5148000121116638,1.3433427810668943,0.5315782730000137,32,1,0.1
56,1,57,5,50000.0,0.5360888957977294,1.2882278203964233,5.73535054719996,0.480400002002716,1.442235541343689,5,10000.0,0.5170999884605407,1.3400773763656617,0.5281373203999464,32,1,0.1
57,1,58,5,50000.0,0.535955548286438,1.280501127243042,5.709449028199924,0.4813999950885773,1.441186714172363,5,10000.0,0.5125,1.3527052879333497,0.5365045056000326,32,1,0.1
58,1,59,5,50000.0,0.5381333351135253,1.2779690504074095,5.716466009199985,0.4874000012874603,1.4292646884918212,5,10000.0,0.5150000095367432,1.3494091749191284,0.5242204424000192,32,1,0.1
59,1,60,5,50000.0,0.5446888923645019,1.268254780769348,5.687100379799949,0.4921999990940094,1.4081654787063598,5,10000.0,0.5182000041007996,1.332909679412842,0.5309995522000008,32,1,0.1
60,1,61,5,50000.0,0.5434444427490235,1.2585090398788452,5.724675825000031,0.491400009393692,1.4154773950576782,5,10000.0,0.5174000024795532,1.3409845113754273,0.5276787850000346,32,1,0.1
61,1,62,5,50000.0,0.5463555574417114,1.2565608978271483,5.703253838600039,0.4901999950408936,1.40945885181427,5,10000.0,0.5210000038146972,1.327164602279663,0.5304858859999513,32,1,0.1
62,1,63,5,50000.0,0.5468222141265869,1.2556680917739869,5.711225908799998,0.4879999995231628,1.4183162927627564,5,10000.0,0.5229000091552735,1.3282365560531617,0.5214902513999732,32,1,0.1
